2024-06-15 23:35:11,140 INFO    MainThread:60835 [wandb_setup.py:_flush():76] Current SDK version is 0.17.1
2024-06-15 23:35:11,141 INFO    MainThread:60835 [wandb_setup.py:_flush():76] Configure stats pid to 60835
2024-06-15 23:35:11,141 INFO    MainThread:60835 [wandb_setup.py:_flush():76] Loading settings from /Users/abhilashchenreddy/.config/wandb/settings
2024-06-15 23:35:11,141 INFO    MainThread:60835 [wandb_setup.py:_flush():76] Loading settings from /Users/abhilashchenreddy/PycharmProjects/CQL_AC/SAC-N/wandb/settings
2024-06-15 23:35:11,141 INFO    MainThread:60835 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-15 23:35:11,141 INFO    MainThread:60835 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-15 23:35:11,141 INFO    MainThread:60835 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'SAC-N/train.py', 'program_abspath': '/Users/abhilashchenreddy/PycharmProjects/CQL_AC/SAC-N/train.py', 'program': '/Users/abhilashchenreddy/PycharmProjects/CQL_AC/SAC-N/train.py'}
2024-06-15 23:35:11,141 INFO    MainThread:60835 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-15 23:35:11,141 INFO    MainThread:60835 [wandb_init.py:_log_setup():520] Logging user logs to /Users/abhilashchenreddy/PycharmProjects/CQL_AC/SAC-N/wandb/run-20240615_233511-cxcnfqr0/logs/debug.log
2024-06-15 23:35:11,141 INFO    MainThread:60835 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/abhilashchenreddy/PycharmProjects/CQL_AC/SAC-N/wandb/run-20240615_233511-cxcnfqr0/logs/debug-internal.log
2024-06-15 23:35:11,141 INFO    MainThread:60835 [wandb_init.py:init():560] calling init triggers
2024-06-15 23:35:11,142 INFO    MainThread:60835 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'run_name': 'SACN-discrete', 'env': 'CartPole-v0', 'episodes': 200, 'buffer_size': 100000, 'seed': 1, 'log_video': 0, 'save_every': 100, 'batch_size': 256}
2024-06-15 23:35:11,142 INFO    MainThread:60835 [wandb_init.py:init():610] starting backend
2024-06-15 23:35:11,142 INFO    MainThread:60835 [wandb_init.py:init():614] setting up manager
2024-06-15 23:35:11,144 INFO    MainThread:60835 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-06-15 23:35:11,149 INFO    MainThread:60835 [wandb_init.py:init():622] backend started and connected
2024-06-15 23:35:11,155 INFO    MainThread:60835 [wandb_init.py:init():711] updated telemetry
2024-06-15 23:35:11,197 INFO    MainThread:60835 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-15 23:35:11,647 INFO    MainThread:60835 [wandb_run.py:_on_init():2402] communicating current version
2024-06-15 23:35:11,988 INFO    MainThread:60835 [wandb_run.py:_on_init():2411] got version response 
2024-06-15 23:35:11,989 INFO    MainThread:60835 [wandb_init.py:init():795] starting run threads in backend
2024-06-15 23:35:12,246 INFO    MainThread:60835 [wandb_run.py:_console_start():2380] atexit reg
2024-06-15 23:35:12,246 INFO    MainThread:60835 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-15 23:35:12,246 INFO    MainThread:60835 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-15 23:35:12,246 INFO    MainThread:60835 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-15 23:35:12,251 INFO    MainThread:60835 [wandb_init.py:init():838] run started, returning control to user process
2024-06-15 23:35:14,881 INFO    MainThread:60835 [wandb_watch.py:watch():51] Watching
2024-06-15 23:35:15,142 INFO    MainThread:60835 [wandb_run.py:_finish():2109] finishing run robust-ac/CQL/cxcnfqr0
2024-06-15 23:35:15,142 INFO    MainThread:60835 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 1
2024-06-15 23:35:15,142 INFO    MainThread:60835 [wandb_run.py:_restore():2332] restore
2024-06-15 23:35:15,142 INFO    MainThread:60835 [wandb_run.py:_restore():2338] restore done
2024-06-15 23:35:19,532 INFO    MainThread:60835 [wandb_run.py:_footer_history_summary_info():4008] rendering history
2024-06-15 23:35:19,533 INFO    MainThread:60835 [wandb_run.py:_footer_history_summary_info():4040] rendering summary
2024-06-15 23:35:19,545 INFO    MainThread:60835 [wandb_run.py:_footer_sync_info():3967] logging synced files
