2024-06-14 11:34:40,883 INFO    MainThread:30679 [wandb_setup.py:_flush():76] Current SDK version is 0.17.1
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_setup.py:_flush():76] Configure stats pid to 30679
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_setup.py:_flush():76] Loading settings from /Users/abhilashchenreddy/.config/wandb/settings
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_setup.py:_flush():76] Loading settings from /Users/abhilashchenreddy/PycharmProjects/CQL_AC/CQL-SAC-discrete/wandb/settings
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'CQL-SAC-discrete/train.py', 'program_abspath': '/Users/abhilashchenreddy/PycharmProjects/CQL_AC/CQL-SAC-discrete/train.py', 'program': '/Users/abhilashchenreddy/PycharmProjects/CQL_AC/CQL-SAC-discrete/train.py'}
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_init.py:_log_setup():520] Logging user logs to /Users/abhilashchenreddy/PycharmProjects/CQL_AC/CQL-SAC-discrete/wandb/run-20240614_113440-b81a0z8m/logs/debug.log
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/abhilashchenreddy/PycharmProjects/CQL_AC/CQL-SAC-discrete/wandb/run-20240614_113440-b81a0z8m/logs/debug-internal.log
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_init.py:init():560] calling init triggers
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'run_name': 'CQL-SAC-discrete', 'env': 'CartPole-v0', 'episodes': 200, 'buffer_size': 100000, 'seed': 1, 'log_video': 0, 'save_every': 100, 'batch_size': 256}
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_init.py:init():610] starting backend
2024-06-14 11:34:40,884 INFO    MainThread:30679 [wandb_init.py:init():614] setting up manager
2024-06-14 11:34:40,886 INFO    MainThread:30679 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-06-14 11:34:40,888 INFO    MainThread:30679 [wandb_init.py:init():622] backend started and connected
2024-06-14 11:34:40,893 INFO    MainThread:30679 [wandb_init.py:init():711] updated telemetry
2024-06-14 11:34:40,937 INFO    MainThread:30679 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-14 11:34:41,383 INFO    MainThread:30679 [wandb_run.py:_on_init():2402] communicating current version
2024-06-14 11:34:41,622 INFO    MainThread:30679 [wandb_run.py:_on_init():2411] got version response 
2024-06-14 11:34:41,623 INFO    MainThread:30679 [wandb_init.py:init():795] starting run threads in backend
2024-06-14 11:34:41,799 INFO    MainThread:30679 [wandb_run.py:_console_start():2380] atexit reg
2024-06-14 11:34:41,799 INFO    MainThread:30679 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-14 11:34:41,799 INFO    MainThread:30679 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-14 11:34:41,799 INFO    MainThread:30679 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-14 11:34:41,803 INFO    MainThread:30679 [wandb_init.py:init():838] run started, returning control to user process
2024-06-14 11:34:43,429 INFO    MainThread:30679 [wandb_watch.py:watch():51] Watching
2024-06-14 11:43:37,269 INFO    MainThread:30679 [wandb_run.py:_finish():2109] finishing run robust-ac/CQL/b81a0z8m
2024-06-14 11:43:37,269 INFO    MainThread:30679 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-06-14 11:43:37,269 INFO    MainThread:30679 [wandb_run.py:_restore():2332] restore
2024-06-14 11:43:37,269 INFO    MainThread:30679 [wandb_run.py:_restore():2338] restore done
2024-06-14 11:43:43,443 INFO    MainThread:30679 [wandb_run.py:_footer_history_summary_info():4008] rendering history
2024-06-14 11:43:43,448 INFO    MainThread:30679 [wandb_run.py:_footer_history_summary_info():4040] rendering summary
2024-06-14 11:43:43,458 INFO    MainThread:30679 [wandb_run.py:_footer_sync_info():3967] logging synced files
